note,length,delay
85,0,0
78,4,100
74,0,100
74,188,0
78,0,0
78,4,100
74,0,100
74,188,0
78,0,0
74,4,100
78,0,100
78,140,0
74,0,0
81,4,100
85,0,100
85,140,0
81,0,0
85,4,100
81,0,100
81,92,0
85,0,0
74,4,100
78,0,100
78,188,0
74,0,0
78,4,100
74,0,100
74,188,0
78,0,0
78,4,100
74,0,100
74,140,0
78,0,0
81,4,100
85,0,100
85,140,0
81,0,0
81,4,100
85,0,100
85,92,0
81,0,0
81,4,100
78,0,100
78,188,0
81,0,0
81,4,100
78,0,100
78,188,0
81,0,0
81,4,100
78,0,100
78,140,0
81,0,0
81,4,100
85,0,100
85,140,0
81,0,0
85,4,100
81,0,100
81,92,0
85,0,0
76,4,100
80,0,100
80,188,0
76,0,0
76,4,100
80,0,100
80,188,0
76,0,0
80,4,100
76,0,100
76,140,0
80,0,0
85,4,100
81,0,100
81,140,0
85,0,0
85,4,100
81,0,100
81,92,0
85,0,0
78,4,100
74,0,100
74,188,0
78,0,0
78,4,100
74,0,100
74,188,0
78,0,0
74,4,100
78,0,100
78,140,0
74,0,0
81,4,100
85,0,100
85,140,0
81,0,0
85,4,100
81,0,100
81,92,0
85,0,0
74,4,100
78,0,100
78,188,0
74,0,0
78,4,100
74,0,100
74,188,0
78,0,0
78,4,100
74,0,100
74,140,0
78,0,0
81,4,100
85,0,100
85,140,0
81,0,0
81,4,100
85,0,100
85,92,0
81,0,0
81,6148,100
78,0,100
78,188,0
81,0,0
81,4,100
78,0,100
78,188,0
81,0,0
81,4,100
78,0,100
78,140,0
81,0,0
81,4,100
85,0,100
85,140,0
81,0,0
85,4,100
81,0,100
81,92,0
85,0,0
76,4,100
80,0,100
80,188,0
76,0,0
76,4,100
80,0,100
80,188,0
76,0,0
80,4,100
76,0,100
76,140,0
80,0,0
85,4,100
81,0,100
81,140,0
85,0,0
85,4,100
81,0,100
81,92,0
85,0,0
78,4,100
74,0,100
74,188,0
78,0,0
78,4,100
74,0,100
74,188,0
78,0,0
74,4,100
78,0,100
78,140,0
74,0,0
81,4,100
85,0,100
85,140,0
81,0,0
85,4,100
81,0,100
81,92,0
85,0,0
74,4,100
78,0,100
78,188,0
74,0,0
78,4,100
74,0,100
74,188,0
78,0,0
78,4,100
74,0,100
74,140,0
78,0,0
81,4,100
85,0,100
85,140,0
81,0,0
81,4,100
85,0,100
85,92,0
81,0,0
81,4,100
78,0,100
78,188,0
81,0,0
81,4,100
78,0,100
78,188,0
81,0,0
81,4,100
78,0,100
78,140,0
81,0,0
81,4,100
85,0,100
85,140,0
81,0,0
85,4,100
81,0,100
81,92,0
85,0,0
76,4,100
80,0,100
80,188,0
76,0,0
76,4,100
80,0,100
80,188,0
76,0,0
80,4,100
76,0,100
76,140,0
80,0,0
85,4,100
81,0,100
81,140,0
85,0,0
85,4,100
81,0,100
81,92,0
85,0,0
78,4,100
74,0,100
74,188,0
78,0,0
78,4,100
74,0,100
74,188,0
78,0,0
74,4,100
78,0,100
78,140,0
74,0,0
81,4,100
85,0,100
85,140,0
81,0,0
85,4,100
81,0,100
81,92,0
85,0,0
74,4,100
78,0,100
78,188,0
74,0,0
78,4,100
74,0,100
74,188,0
78,0,0
78,4,100
74,0,100
74,140,0
78,0,0
81,4,100
85,0,100
85,140,0
81,0,0
81,4,100
85,0,100
85,92,0
81,0,0
81,4,100
78,0,100
78,188,0
81,0,0
81,4,100
78,0,100
78,188,0
81,0,0
81,4,100
78,0,100
78,140,0
81,0,0
81,4,100
85,0,100
85,140,0
81,0,0
85,4,100
81,0,100
81,92,0
85,0,0
76,4,100
80,0,100
80,188,0
76,0,0
76,4,100
80,0,100
80,188,0
76,0,0
80,4,100
76,0,100
76,140,0
80,0,0
85,4,100
81,0,100
81,140,0
85,0,0
85,4,100
81,0,100
81,92,0
85,0,0
78,4,100
74,0,100
74,188,0
78,0,0
78,4,100
74,0,100
74,188,0
78,0,0
74,4,100
78,0,100
78,140,0
74,0,0
81,4,100
85,0,100
85,140,0
81,0,0
85,4,100
81,0,100
81,92,0
85,0,0
74,4,100
78,0,100
78,188,0
74,0,0
78,4,100
74,0,100
74,188,0
78,0,0
78,4,100
74,0,100
74,140,0
78,0,0
81,4,100
85,0,100
85,140,0
81,0,0
81,4,100
85,0,100
85,92,0
81,0,0
81,4,100
78,0,100
78,188,0
81,0,0
81,4,100
78,0,100
78,188,0
81,0,0
81,4,100
78,0,100
78,140,0
81,0,0
81,4,100
85,0,100
85,140,0
81,0,0
85,4,100
81,0,100
81,92,0
85,0,0
76,4,100
80,0,100
80,188,0
76,0,0
76,4,100
80,0,100
80,188,0
76,0,0
80,4,100
76,0,100
76,140,0
80,0,0
85,4,100
81,0,100
81,140,0
85,0,0
85,4,100
81,0,100
81,92,0
85,0,0
78,4,100
74,0,100
74,188,0
78,0,0
78,4,100
74,0,100
74,188,0
78,0,0
74,4,100
78,0,100
78,140,0
74,0,0
81,4,100
85,0,100
85,140,0
81,0,0
85,4,100
81,0,100
81,92,0
85,0,0
